Census year,Occupation,Total Weight,multirace,aian,white,hispanic,asian,black
2006,administrator,410474.0,0.01173521343617379,0.007800737683750981,0.7253516666098219,0.08648538031641469,0.056692993953332,0.11193400800050674
1920,waitstaff,215685.2699999999,0.0,0.0,0.7460230362509223,0.01713900073009159,0.024723848782070283,0.21211411423691584
1970,postmaster,92500.0,0.0,0.0,0.9816216216216216,0.008648648648648649,0.001081081081081081,0.008648648648648649
2002,farmer,1030479.0,0.006611488443723744,0.0028307224116163455,0.9083115716089314,0.05480363986068615,0.013844047282865542,0.013598530392176842
2007,official,21843904.0,0.01206217533276103,0.004573495653524206,0.7711957990659545,0.09099119827664505,0.04837203093366461,0.07280530073745059
2003,sheriff,12706.0,0.046434755233747835,0.005351802298126869,0.6553596725956241,0.110262867936408,0.0,0.18259090193609318
1860,designer,104.28,0.0,0.0,1.0,0.0,0.0,0.0
1870,postmaster,3524.5399999999995,0.0,0.0,1.0,0.0,0.0,0.0
1870,bankteller,950.55,0.0,0.0,1.0,0.0,0.0,0.0
1880,upholsterer,10460.790000000059,0.0,0.0,0.9779414365454235,0.0024061280266595405,0.0,0.019652435427916906
1850,conservationist,186.22000000000003,0.0,0.0,1.0,0.0,0.0,0.0
2004,engineer,2999591.0,0.008968556046474336,0.003241441916581294,0.7901720601241969,0.05631634446162827,0.09324871290785977,0.0480528845432594
2015,conductor,66109.0,0.018847660681601597,0.00762377285997368,0.7508206144397889,0.07861259435175241,0.0006806940053547928,0.1434146636615287
1860,waitstaff,8822.630000000001,0.0,0.0,0.5938728021009608,0.0,0.0,0.4061271978990391
1940,osteopath,6800.0,0.0,0.0,0.9558823529411765,0.029411764705882353,0.0,0.014705882352941176
2003,toolmaker,107362.0,0.0,0.002477599150537434,0.8928484938805163,0.06133455039958272,0.01394348093366368,0.029395875635699783
2012,plasterer,40318.0,0.008879408700828414,0.003993253633612778,0.33823602361228233,0.560022818592192,0.01619623989285183,0.07267225556823255
1970,conservationist,105800.0,0.000945179584120983,0.017013232514177693,0.941398865784499,0.012287334593572778,0.006616257088846881,0.021739130434782608
2005,welder,721901.0,0.010329671243009776,0.011876974820647153,0.6857893256831615,0.17855356897968003,0.025600463221411247,0.08784999605209025
1950,inspector,162595.0,0.0,0.0,0.9741996986377195,0.010246317537439651,0.0,0.015553983824840863
1950,operator,1002950.0,6.580587267560696e-05,0.0008225734084450869,0.9428186848796052,0.012463233461289197,0.0009651527992422354,0.04286454957874271
2014,operator,1443512.0,0.018000543119835514,0.010854776406430983,0.6916208524764602,0.12876096630994407,0.03756186301187659,0.11320099867545265
2007,pharmacist,266051.0,0.012937369151027434,0.0019357190914523906,0.7514536686575131,0.03592920154406486,0.15426741489413684,0.04347662666180544
1870,painter,10630.900000000001,0.0,0.0,0.9905896960746502,0.009410303925349688,0.0,0.0
1870,newsperson,7825.28,0.0,0.0,0.9868132514108122,0.0,0.0,0.013186748589187863
1880,sheriff,5212.280000000001,0.0,0.0,0.9704371215667618,0.015152677906789348,0.0,0.014410200526449077
2000,pilot,142278.0,0.011470501412727195,0.003865671431985268,0.9276486877802612,0.030166294156510492,0.010753595074431747,0.016095250144084118
1910,setter,20563.0,0.0,0.0,1.0,0.0,0.0,0.0
2004,artist,278360.0,0.021306940652392584,0.008208794367006753,0.8591751688460986,0.04890788906452077,0.033118982612444316,0.029282224457537004
2015,nurse,5538673.0,0.016921742807347536,0.005157733630420138,0.699552943457756,0.0742069445154101,0.0717269280927038,0.1324337074963624
2010,housekeeper,148111.0,0.022024022523647806,0.005144790056106569,0.6632660639655393,0.07518010141042866,0.036114805787551225,0.19827021625672636
1970,clergy,574800.0,0.0008698677800974252,0.0026096033402922755,0.9206680584551148,0.014961725817675714,0.0048712595685455815,0.05601948503827418
1920,porter,113492.69999999998,0.0,0.0,0.2631096978043522,0.008759153672438846,0.005490132845548657,0.7226410156776603
1970,athlete,217800.0,0.0009182736455463728,0.0018365472910927456,0.9370982552800735,0.015151515151515152,0.006887052341597796,0.03810835629017447
2003,manager,20879649.0,0.01092647678129072,0.004976089396905092,0.7963094111400053,0.07806649431702611,0.041484701203549926,0.06823682716122287
2014,broker,2620626.0,0.015452796392922913,0.0017591216755080657,0.7466399249644932,0.10286320901952434,0.03819507247504986,0.09508987547250161
2000,electrician,893197.0,0.015361672732890953,0.008655425398876171,0.7975743313065314,0.09383484270547258,0.015097453305373843,0.06947627455085496
1990,dietitian,110748.0,0.0005778885397478962,0.007052046086611045,0.7094665366417452,0.04972550294361975,0.04168021092931701,0.1914978148589591
2011,architect,414297.0,0.014832354566892834,0.0031933612842960485,0.7702638445366489,0.09434777466406949,0.08250120082935672,0.03486146411873608
2004,soldier,787565.0,0.020295467675683913,0.00737082018627034,0.703439081218693,0.100180937446433,0.02765993917962327,0.14105375429329642
1990,architect,543005.0,0.0007937311811125128,0.004364600694284583,0.8559479194482555,0.054802441966464395,0.043749136748280404,0.040342169961602566
1970,shoemaker,193600.0,0.0015495867768595042,0.0025826446280991736,0.8398760330578512,0.05836776859504132,0.004132231404958678,0.09349173553719008
1870,compositor,31915.09999999993,0.0,0.0,0.9903346691691395,0.0029719474480731753,0.0,0.0066933833827874725
2007,baker,226914.0,0.010466520355729484,0.005438183629040077,0.5652714244162987,0.2598825986937783,0.05248684523652133,0.10645442766863217
1980,proprietor,9539260.0,0.0007589687250373719,0.0035663143682004685,0.9076930495656896,0.03282015586114646,0.016085105133941208,0.03907640634598491
1850,porter,6161.359999999995,0.0,0.0,0.7824636119298336,0.0,0.0,0.21753638807016654
2009,entertainer,320178.0,0.028365471706363336,0.005696831137679666,0.6692964538475473,0.15656603514295173,0.05948878436369769,0.08058642380176027
2006,mechanic,13489361.0,0.01143026715646501,0.006149216408397699,0.6151616818617279,0.19911706714647195,0.043779760953836136,0.12436200647310128
1950,paperhanger,25897.0,0.0,0.0,0.9141985558172762,0.003706993088002471,0.0,0.0820944510947214
1950,plumber,297638.0,0.0,0.0013439144195297643,0.9632640993421538,0.009753458899737265,0.00022174587922241113,0.025416781459356667
2006,geologist,84289.0,0.013975726369988967,0.0041049247232734995,0.8684288578580835,0.03544946552930987,0.04085942412414431,0.03718160139519985
2001,cabinetmaker,103647.0,0.007245747585554816,0.003396142676584947,0.7780061169160709,0.10896600962883633,0.03252385500786323,0.06986212818508977
